<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.RTS-9.18,15,20180906,153000,107530.0000000,107620.0000000,107470.0000000,107470.0000000,4238
SPFB.RTS-9.18,15,20180906,154500,107480.0000000,107500.0000000,107120.0000000,107280.0000000,17398
SPFB.RTS-9.18,15,20180906,160000,107290.0000000,107330.0000000,106530.0000000,106690.0000000,28469
SPFB.RTS-9.18,15,20180906,161500,106680.0000000,106690.0000000,106150.0000000,106370.0000000,27326
SPFB.RTS-9.18,15,20180906,163000,106370.0000000,106520.0000000,106180.0000000,106220.0000000,18835
SPFB.RTS-9.18,15,20180906,164500,106220.0000000,106350.0000000,106070.0000000,106270.0000000,11421
SPFB.RTS-9.18,15,20180906,170000,106280.0000000,106480.0000000,106160.0000000,106200.0000000,12067
SPFB.RTS-9.18,15,20180906,171500,106200.0000000,106270.0000000,105930.0000000,105980.0000000,11120
SPFB.RTS-9.18,15,20180906,173000,105970.0000000,106180.0000000,105930.0000000,106130.0000000,8855
SPFB.RTS-9.18,15,20180906,174500,106130.0000000,106140.0000000,105860.0000000,105880.0000000,10625
SPFB.RTS-9.18,15,20180906,180000,105890.0000000,105980.0000000,105480.0000000,105550.0000000,23533
SPFB.RTS-9.18,15,20180906,181500,105540.0000000,105570.0000000,105170.0000000,105330.0000000,20354
SPFB.RTS-9.18,15,20180906,183000,105310.0000000,105530.0000000,105300.0000000,105300.0000000,11842
SPFB.RTS-9.18,15,20180906,190000,105520.0000000,105590.0000000,105210.0000000,105290.0000000,6353
SPFB.RTS-9.18,15,20180906,191500,105280.0000000,105440.0000000,105100.0000000,105150.0000000,8519
SPFB.RTS-9.18,15,20180906,193000,105140.0000000,105380.0000000,105110.0000000,105300.0000000,6041
SPFB.RTS-9.18,15,20180906,194500,105310.0000000,105390.0000000,105270.0000000,105300.0000000,1865
SPFB.RTS-9.18,15,20180906,200000,105290.0000000,105410.0000000,105260.0000000,105390.0000000,2311
SPFB.RTS-9.18,15,20180906,201500,105380.0000000,105470.0000000,105340.0000000,105380.0000000,2231
SPFB.RTS-9.18,15,20180906,203000,105370.0000000,105570.0000000,105360.0000000,105520.0000000,3535
SPFB.RTS-9.18,15,20180906,204500,105520.0000000,105590.0000000,105470.0000000,105570.0000000,2005
SPFB.RTS-9.18,15,20180906,210000,105560.0000000,105710.0000000,105530.0000000,105620.0000000,3452
SPFB.RTS-9.18,15,20180906,211500,105630.0000000,105650.0000000,105450.0000000,105490.0000000,3062
SPFB.RTS-9.18,15,20180906,213000,105470.0000000,105570.0000000,105470.0000000,105480.0000000,1375
SPFB.RTS-9.18,15,20180906,214500,105490.0000000,105570.0000000,105480.0000000,105520.0000000,1316
SPFB.RTS-9.18,15,20180906,220000,105520.0000000,105750.0000000,105500.0000000,105720.0000000,3426
SPFB.RTS-9.18,15,20180906,221500,105710.0000000,105750.0000000,105530.0000000,105610.0000000,1721
SPFB.RTS-9.18,15,20180906,223000,105610.0000000,105660.0000000,105550.0000000,105660.0000000,1500
SPFB.RTS-9.18,15,20180906,224500,105660.0000000,105790.0000000,105640.0000000,105770.0000000,3011
SPFB.RTS-9.18,15,20180906,230000,105770.0000000,105830.0000000,105660.0000000,105700.0000000,2017
SPFB.RTS-9.18,15,20180906,231500,105700.0000000,105790.0000000,105680.0000000,105720.0000000,833
SPFB.RTS-9.18,15,20180906,233000,105720.0000000,105750.0000000,105610.0000000,105640.0000000,845
SPFB.RTS-9.18,15,20180906,234500,105630.0000000,105750.0000000,105620.0000000,105740.0000000,881
SPFB.RTS-9.18,15,20180907,100000,105750.0000000,106210.0000000,105750.0000000,106200.0000000,19623
SPFB.RTS-9.18,15,20180907,101500,106200.0000000,106280.0000000,105910.0000000,106150.0000000,12646
SPFB.RTS-9.18,15,20180907,103000,106150.0000000,106180.0000000,105800.0000000,105810.0000000,7864
SPFB.RTS-9.18,15,20180907,104500,105820.0000000,105820.0000000,105470.0000000,105730.0000000,14286
SPFB.RTS-9.18,15,20180907,110000,105720.0000000,105770.0000000,105650.0000000,105690.0000000,5899
SPFB.RTS-9.18,15,20180907,111500,105680.0000000,105690.0000000,105310.0000000,105570.0000000,11486
SPFB.RTS-9.18,15,20180907,113000,105560.0000000,105740.0000000,105470.0000000,105690.0000000,7016
SPFB.RTS-9.18,15,20180907,114500,105680.0000000,105880.0000000,105610.0000000,105740.0000000,9406
SPFB.RTS-9.18,15,20180907,120000,105750.0000000,105760.0000000,105520.0000000,105560.0000000,5063
SPFB.RTS-9.18,15,20180907,121500,105570.0000000,105800.0000000,105530.0000000,105580.0000000,4615
SPFB.RTS-9.18,15,20180907,123000,105570.0000000,105660.0000000,105500.0000000,105520.0000000,3345
SPFB.RTS-9.18,15,20180907,124500,105530.0000000,105530.0000000,105350.0000000,105420.0000000,5685
SPFB.RTS-9.18,15,20180907,130000,105420.0000000,105440.0000000,105210.0000000,105340.0000000,8096
SPFB.RTS-9.18,15,20180907,131500,105330.0000000,105440.0000000,105270.0000000,105270.0000000,5638
SPFB.RTS-9.18,15,20180907,133000,105270.0000000,105440.0000000,105260.0000000,105430.0000000,6031
SPFB.RTS-9.18,15,20180907,134500,105430.0000000,105770.0000000,105390.0000000,105470.0000000,16028
SPFB.RTS-9.18,15,20180907,140000,105450.0000000,105550.0000000,105340.0000000,105550.0000000,5972
SPFB.RTS-9.18,15,20180907,141500,105550.0000000,105570.0000000,105350.0000000,105410.0000000,4595
